id;slug;nome_popular;nome_cientifico;origem;fins_plantio_codigos;fins_plantio;comportamento_folhar_codigo;comportamento_folhar;altura;floracao;cor_floracao;frutificacao;regioes_ocorrencia_cultivo;mapa_regiao;descricao
97;mamica-de-porca;Mamica-de-porca;Zanthoxylum rhoifolium Lam.;Nativa;NA FA S O RAD;Espécie nativa | Consumo animal de frutos e/ou néctar | Sombreamento | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Recuperação de áreas degradadas;SD;Semidecídua;6-12m;;;;Todo o Brasil.;mudas/mapas/Mamica_de_porca.jpg;
98;manaca-da-serra;Manacá-da-serra;Tibouchina mutabilis Cong.;Nativa;NA O FLOR RAD;Espécie nativa | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Floração exuberante | Recuperação de áreas degradadas;P;Perenifólia;7-12m;novembro-fevereiro;branco-rósea;;RJ até SC.;mudas/mapas/Manacá_da_serra.jpg;
99;manduirana;Manduirana;Senna macranthera (Collad.) Irwin et Barn.;Nativa;NA O FLOR RAD;Espécie nativa | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Floração exuberante | Recuperação de áreas degradadas;SD;Semidecídua;6-8m;dezembro-abril;amarela;;CE até SP e MG. É cultivada no PR, SC e RS.;mudas/mapas/Manduirana.jpg;
100;maracuja-doce;Maracujá-doce;Passiflora alata Curtis;Nativa;NA FH;Espécie nativa | Consumo humano de fruto;SD;Semidecídua;;;;dezembro-maio;BA até o RS.;mudas/mapas/Maracujá_doce.jpg;
101;maracuja-amarelo;Maracujá-amarelo;Passiflora edulis Sims;Nativa;NA FH;Espécie nativa | Consumo humano de fruto;SD;Semidecídua;;;;dezembro-maio;Todo o Brasil.;mudas/mapas/Maracujá_amarelo.jpg;
102;maria-preta;Maria-preta;Diospyros inconstans Jacquin;Nativa;NA FA S O RAD;Espécie nativa | Consumo animal de frutos e/ou néctar | Sombreamento | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Recuperação de áreas degradadas;P;Perenifólia;6-9m;;;a partir de janeiro;MG até o RS.;mudas/mapas/Maria_preta.jpg;
103;marica;Maricá;Acacia polyphylla DC.;Nativa;NA S O RAD;Espécie nativa | Sombreamento | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Recuperação de áreas degradadas;SD;Semidecídua;15-20m;;;;Região amazônica até o PR e SP. Cultivada em SC e no RS.;mudas/mapas/Maricá.jpg;
104;mogno;Mogno;Swietenia macrophylla King.;Nativa;NA O RAD;Espécie nativa | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Recuperação de áreas degradadas;SD;Semidecídua;25-30m;;;;Toda região Amazônica. É cultivada na região centro-sul do país.;mudas/mapas/Mogno.jpg;
105;mulungu-do-litoral;Mulungu-do-litoral;Erythrina speciosa Andrews;Nativa;NA O FLOR RMC RAD;Espécie nativa | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Floração exuberante | Recuperação de mata ciliar | Recuperação de áreas degradadas;D;Decídua;3-5m;junho-setembro;vermelha;;ES, MG até SC.;mudas/mapas/Mulungu_do_litoral.jpg;
106;murta;Murta;Myrtus communis L.;Exótica;EX O FLOR;Espécie exótica | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Floração exuberante;P;Perenifólia;5-7m;no decorre de todo ano;branca;;Cultivada em todo território brasileiro.;mudas/mapas/Murta.jpg;
107;olandi;Olandi;Calophyllum brasiliensis Camb.;Nativa;NA FA O RMC RAD;Espécie nativa | Consumo animal de frutos e/ou néctar | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Recuperação de mata ciliar | Recuperação de áreas degradadas;P;Perenifólia;20-30m;;;novembro-dezembro;Região Amazônica até o norte de SC.;mudas/mapas/Olandi.jpg;
108;paineira-rosa;Paineira-rosa;Ceiba speciosa (A.St.-Hil.) Ravenna;Nativa;NA O FLOR RAD;Espécie nativa | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Floração exuberante | Recuperação de áreas degradadas;D;Decídua;15-30m;dezembro-abril;rosa;;RJ, MG, GO, SP, MS e norte no PR. É cultivada no RS e SC.;mudas/mapas/Paineira_rosa.jpg;
